original_size,cleaned_size,word_count,formula_count,section_count,figure_count,table_count,citation_count,filename
17428,7187,972,108,0,0,0,0,bashkinova.tex
53199,22577,3186,130,0,2,0,2,bashkirov.tex
44252,30765,3969,101,5,0,0,28,basok.tex
43281,13962,1919,239,6,0,0,16,batrak.tex
28426,5893,963,130,3,0,0,0,bazilevski.tex
23144,8378,1124,83,5,1,0,1,bazilevskii.tex
48149,28747,3765,111,5,5,1,13,begishev.tex
35020,9280,1413,132,0,3,1,6,beibalaev.tex
17211,5162,800,113,0,0,0,3,beilina.tex
31228,8612,1211,200,0,0,0,10,belevich.tex
25693,14252,1777,71,0,3,0,0,belkov.tex
29328,8265,1257,107,6,3,0,6,belozerov.tex
21217,5690,835,156,0,0,0,7,belyaev.tex
25965,8244,1221,146,0,1,1,11,belyaeva.tex
63782,5420,1053,342,6,0,0,33,belyaev_updated.tex
29987,6377,847,56,6,0,0,15,belyh.tex
47581,38762,5106,5,5,0,0,0,benderina.tex
56966,8990,1763,654,5,0,0,10,bening.tex
25848,12946,1738,65,0,2,0,0,berdnikov.tex
37830,12791,2113,594,0,0,0,26,BEREST2.TEX
106888,17708,3472,751,0,4,0,18,berezin.tex
26668,7099,1042,191,0,0,4,0,bertyaev.tex
38356,21334,3054,130,5,3,0,2,beschast.tex
33601,9377,1268,111,5,2,1,10,beschastn.tex
29484,5299,818,164,0,0,0,15,beshtokov.tex
43271,30624,4014,25,6,0,0,1,betelin.tex
27957,8669,1239,162,0,2,1,6,beybalaev.tex
26942,7422,1090,148,0,0,0,8,beylin.tex
12390,3604,539,87,0,0,0,3,beylina.tex
22049,16364,2032,4,8,5,0,7,bezzub.tex
107369,82851,11490,14,7,0,0,0,bibl-new.tex
86130,76958,10734,0,0,0,0,0,bibl-sinit.tex
64927,46284,6070,9,7,0,0,0,bibl.tex
593,29,6,0,0,0,0,0,BILICH.TEX
48135,27485,3672,186,5,6,1,12,biller.tex
30949,21425,2854,2,5,1,0,3,birukova.tex
58538,8200,1342,252,0,2,0,15,birykov.tex
31009,5455,812,110,0,2,0,2,biryukov.tex
58563,48893,5949,3,5,4,0,0,Bistrov.tex
41230,10381,1813,359,4,0,0,13,bitbos.tex
71219,27973,3554,146,0,11,1,27,bitkin.tex
27623,12580,1607,124,0,3,0,5,bitkina.tex
47313,8827,1633,354,5,0,0,21,bitukov.tex
16171,4630,731,129,0,3,0,2,biturin.tex
975,213,36,0,0,0,0,0,BMPS.TEX
27528,16359,2234,84,4,4,1,8,bobrikova.tex
33798,20575,2728,93,4,2,0,0,bobyl.tex
34287,13691,1820,123,5,5,5,9,bobyr.tex
59683,19287,3038,357,0,8,0,16,bochkarev.tex
20877,3707,701,163,0,0,0,7,bogan.tex
30654,20422,2646,2,0,0,0,0,bogdan.tex
31010,13033,1823,85,0,0,0,7,bogdanova.tex
26258,18086,2311,15,4,0,0,0,bor-bos-zh-i.tex
63472,29680,3576,3,6,0,21,0,borisov-2.tex
48557,35355,4531,6,5,0,0,9,Borisov-Bosov.tex
46287,8892,1398,228,5,0,0,18,BORISOV.TEX
65336,45609,5819,6,5,0,6,25,borisov3-new.tex
50120,17754,2910,297,4,2,0,14,borisov4.tex
20052,11456,1628,198,0,2,0,13,bormatova.tex
17169,5538,824,132,4,2,0,9,borodak.tex
20998,7407,915,67,4,1,0,1,borodin.tex
38759,9135,1438,323,5,0,0,28,Borodina.tex
64711,45350,5781,3,5,0,6,25,bos3-old.tex
45055,28890,3796,193,4,0,0,4,bosov+borisov.tex
31759,17878,2329,128,4,0,0,9,bosov+stef.tex
31894,23892,2908,7,4,1,0,0,bosov+suchkov.tex
39869,11508,1505,73,4,4,0,7,bosov-Ivanov.tex
41972,13398,1775,184,6,0,0,2,bosov-naumov.tex
47445,12938,2015,223,5,0,0,8,bosov-old.tex
51670,41221,4960,5,6,2,0,9,bosov-suchkov.tex
38943,12043,1691,214,5,0,6,7,Bosov.tex
42123,28464,3681,15,6,0,0,7,br-stup.tex
30671,6152,845,59,5,0,2,3,bronshtein.tex
22862,8280,1174,79,6,0,0,0,bronstein.tex
17672,5604,868,79,0,3,0,12,bryzgalov.tex
16303,10114,1382,57,0,1,0,3,bubnov.tex
38351,24313,3152,72,6,0,0,3,Budzko-sochenkov.tex
20362,8106,1082,72,0,1,0,5,bukhanko.tex
51991,20905,3023,188,0,1,0,43,bulgakova.tex
58341,14533,2148,174,0,5,0,0,burenin.tex
20257,10973,1405,24,5,0,0,0,burl+yak.tex
65683,18501,2780,243,0,5,1,20,burmasheva.tex
38580,9839,1923,404,0,0,0,18,burskii.tex
33710,9303,1254,94,5,0,0,0,Burtseva.tex
31017,18553,2531,135,4,2,1,0,butenko.tex
47518,13286,2305,313,0,0,0,13,butov.tex
51457,33256,4440,308,5,0,0,18,buyanov.tex
27194,16778,2186,199,0,7,2,10,buzmakova.tex
17529,10421,1364,59,0,4,0,0,buzova.tex
33502,25497,3076,3,4,0,0,5,bystrov.tex
14346,2899,464,98,0,1,0,6,bytev.tex
700,28,6,0,0,0,0,0,CARUT.TEX
741,706,112,0,0,0,0,0,CH-ENG.TEX
35346,10006,1398,201,5,6,0,11,ch.tex
42557,33359,4229,69,6,5,2,7,CH1.TEX
14932,11775,1443,1,5,1,0,11,ch2.tex
35984,27774,3740,26,5,5,2,4,ch3.tex
24654,18503,2474,52,5,0,1,12,ch4.tex
30317,21879,3115,7,5,3,4,11,ch5.tex
37956,6521,969,308,6,0,0,13,CH6.TEX
28887,9670,1340,127,3,2,0,5,ch7.tex
62889,24368,3258,365,4,6,6,14,ch8.tex
10866,2275,342,82,0,0,0,3,chadaev.tex
32518,10186,1481,286,2,0,0,8,CHAPL.TEX
22216,8870,1214,158,0,3,0,0,ChastSM.tex
38830,5818,1339,354,0,0,0,0,chebotareva.tex
65160,19301,2650,234,7,0,0,28,chehovich.tex
30330,8468,1562,375,0,0,0,17,cherevatenko.tex
36406,27140,3181,56,7,1,0,12,Chernikov.tex
20285,10038,1300,27,4,5,0,0,chernous.tex
27609,10010,1431,152,4,0,0,1,chernyshev.tex
52876,11511,1717,249,3,0,0,16,chertok.tex
18245,8197,1087,81,0,1,0,5,chervon.tex
52894,7356,1093,269,4,0,0,0,CHICHAGOV.tex
69389,10342,1653,486,7,0,0,14,chichig.tex
30734,11690,1700,127,4,0,0,1,chirkunov.tex
33105,22689,2745,5,5,6,1,8,chit-kalash.tex
33529,25259,3257,1,7,3,0,6,Chitalov.tex
40783,27982,3558,16,5,7,1,5,chizhov-sdn.tex
46077,26515,3734,39,8,9,0,0,chizhov-zod.tex
17784,3724,782,150,0,1,1,3,chubatov.tex
1096,654,79,0,0,0,0,0,chubatov_about_authors.tex
